IP1,IP2,IP3,IP4,case
52,79,99,2,1
66,133,139,248,1
68,183,159,229,1
103,124,139,177,1
112,165,253,252,1
164,90,228,171,1
188,143,233,29,1
45,115,85,93,1
166,161,42,131,1
222,95,240,139,1
75,178,128,212,1
84,241,10,9,1
1,20,97,96,1
162,216,150,198,1
81,210,61,2,1
41,253,245,168,1
137,184,105,25,1
193,9,21,34,1
189,155,192,127,1
219,102,104,210,1
181,17,239,200,1
75,97,82,37,1
151,238,13,221,1
121,174,176,244,1
37,60,220,229,1
203,248,175,71,1
74,94,77,18,1
209,127,17,188,1
111,22,48,194,1
51,144,137,125,1
165,22,102,182,1
117,107,159,130,1
65,20,193,75,1
114,220,114,171,1
108,62,57,13,1
187,102,96,95,1
92,54,200,66,1
1,70,13,122,1
187,111,192,97,1
64,137,225,201,1
95,110,234,93,1
94,212,219,138,1
181,17,143,76,1
138,197,185,192,1
110,180,158,64,1
190,50,171,131,1
119,92,169,241,1
43,153,45,144,1
45,85,212,92,1
117,222,181,124,1
5,11,175,200,1
117,210,165,35,1
91,126,241,120,1
122,179,158,203,1
61,177,173,31,1
50,238,10,68,1
114,239,9,100,1
117,198,38,228,1
185,226,116,144,1
153,155,51,241,1
161,35,72,39,1
112,114,136,172,1
220,246,51,159,1
106,74,128,101,1
5,75,231,118,1
118,169,155,213,1
171,42,117,153,1
188,143,232,230,1
119,82,243,230,1
109,160,72,231,1
203,28,65,54,1
66,175,213,208,1
178,62,237,130,1
117,233,165,77,1
113,230,83,66,1
196,18,229,51,1
37,114,217,30,1
46,4,112,164,1
82,200,205,30,1
177,97,254,44,1
98,25,221,95,1
205,254,163,200,1
43,156,232,12,1
178,62,229,24,1
2,181,34,248,1
117,233,216,237,1
177,25,213,4,1
85,31,44,164,1
107,189,1,237,1
49,144,107,231,1
203,237,238,234,1
164,68,124,153,1
190,29,26,190,1
151,245,9,165,1
117,207,207,35,1
59,182,65,216,1
178,72,78,190,1
49,195,105,206,1
71,213,58,81,1
200,73,131,217,1
85,141,163,209,1
164,92,151,127,1
220,247,162,186,1
117,2,161,45,1
194,180,48,182,1
174,141,205,63,1
36,69,14,232,1
77,75,77,54,1
114,32,101,16,1
114,35,27,243,1
108,62,57,152,1
113,7,63,121,1
47,102,146,233,1
189,253,249,141,1
59,126,113,91,1
203,74,130,198,1
163,172,166,104,1
24,101,141,242,1
192,251,226,197,1
117,212,79,150,1
50,77,133,114,1
119,80,177,102,1
144,34,171,163,1
150,214,111,211,1
54,39,141,15,1
103,233,1,53,1
123,25,91,159,1
157,230,7,237,1
125,211,183,136,1
189,240,62,227,1
183,157,173,207,1
103,143,190,84,1
94,241,251,147,1
45,190,140,9,1
5,149,254,72,1
124,0,73,2,1
216,154,45,178,1
186,138,26,22,1
212,103,118,77,1
164,52,202,186,1
68,206,21,41,1
121,202,193,89,1
176,87,196,195,1
14,155,130,107,1
189,147,252,23,1
151,80,29,164,1
35,203,210,61,1
137,184,130,175,1
79,116,147,207,1
182,153,10,49,1
216,151,130,122,1
176,226,243,153,1
97,107,139,11,1
185,219,134,164,1
5,104,124,5,1
182,243,178,234,1
93,185,225,43,1
91,66,44,111,1
180,107,104,49,1
93,123,118,151,1
222,241,48,23,1
192,248,191,118,1
204,157,241,136,1
103,75,199,61,1
185,222,56,243,1
93,118,104,33,1
95,132,84,112,1
176,223,139,141,1
181,52,172,36,1
207,12,89,120,1
122,248,34,138,1
112,213,120,160,1
77,83,84,15,1
142,93,158,27,1
177,188,192,113,1
221,178,127,158,1
218,91,27,100,1
113,193,95,94,1
115,96,156,212,1
159,253,20,130,1
5,167,69,184,1
120,79,13,172,1
42,59,207,245,1
197,49,72,194,1
108,62,62,81,1
1,70,11,205,1
220,144,238,17,1
43,252,74,202,1
187,9,76,156,1
104,28,241,117,1
221,151,47,175,1
31,210,20,64,1
116,179,37,180,1
185,81,157,168,1
108,62,62,255,1
68,135,5,60,1
43,155,180,58,1
167,172,177,230,1
93,176,160,242,1
34,74,41,59,1
120,26,12,44,1
118,37,244,77,1
117,241,231,133,1
38,64,92,17,1
31,173,127,117,1
52,3,146,92,1
59,94,37,145,1
114,35,28,119,1
103,174,136,25,1
66,175,44,54,1
223,13,61,129,1
187,73,23,212,1
166,151,58,61,1
103,93,180,125,1
176,41,232,201,1
83,25,221,249,1
222,121,254,3,1
104,244,73,6,1
117,209,73,44,1
45,228,48,4,1
143,198,39,132,1
185,14,186,129,1
101,33,224,86,1
159,192,149,87,1
147,135,62,205,1
45,186,202,252,1
118,33,221,94,1
43,134,45,24,1
103,162,68,23,1
81,161,229,115,1
59,184,0,141,1
8,130,119,170,1
2,181,178,181,1
182,185,163,129,1
188,143,233,208,1
189,41,21,243,1
93,211,168,27,1
178,176,77,50,1
111,99,116,183,1
59,92,158,208,1
201,132,119,254,1
50,171,2,11,1
185,47,130,236,1
75,108,123,118,1
104,152,58,150,1
157,245,232,193,1
192,241,229,40,1
180,149,125,210,1
71,71,146,81,1
112,74,50,108,1
111,120,0,208,1
192,241,196,95,1
190,109,229,126,1
112,46,68,54,1
203,110,91,131,1
117,233,252,200,1
139,227,254,243,1
45,81,34,182,1
5,9,87,111,1
192,241,215,33,1
113,252,173,39,1
43,129,189,97,1
212,72,47,218,1
117,215,146,224,1
5,255,104,191,1
81,34,18,81,1
222,79,58,12,1
79,117,2,177,1
61,230,80,135,1
46,39,20,3,1
146,185,238,153,1
117,235,120,78,1
87,103,208,30,1
179,168,42,201,1
113,26,168,207,1
80,116,142,206,1
193,150,70,35,1
218,93,60,211,1
216,15,72,34,1
88,28,223,242,1
213,99,170,3,1
2,181,175,88,1
113,212,69,3,1
14,247,109,53,1
185,77,128,113,1
165,220,173,25,1
198,199,92,99,1
5,150,214,119,1
190,77,28,48,1
5,128,71,116,1
119,255,245,44,1
123,16,218,24,1
47,243,7,123,1
113,212,69,88,1
118,21,157,106,1
182,76,82,204,1
59,182,21,52,1
135,181,1,135,1
175,140,224,87,1
41,204,248,4,1
20,168,13,25,1
47,88,88,78,1
123,122,162,194,1
200,107,253,130,1
170,64,187,191,1
113,212,69,150,1
208,92,211,146,1
45,201,195,44,1
43,153,110,209,1
117,233,143,110,1
91,247,39,211,1
92,248,199,53,1
103,58,73,78,1
172,81,135,25,1
187,69,136,251,1
45,190,77,156,1
117,82,146,253,1
72,189,181,20,1
120,57,84,11,1
128,199,242,12,1
5,167,68,50,1
138,68,224,58,1
116,139,93,64,1
36,72,37,167,1
103,179,74,2,1
99,63,182,23,1
143,42,125,95,1
103,169,34,130,1
72,134,124,16,1
38,45,125,10,1
120,197,10,46,1
117,63,36,34,1
45,148,232,227,1
101,13,0,27,1
67,48,56,148,1
69,133,55,40,1
49,88,42,56,1
185,215,113,48,1
123,57,35,34,1
63,47,106,200,1
188,121,98,61,1
2,176,117,58,1
89,135,84,36,1
93,117,8,177,1
112,166,163,221,1
2,30,213,94,1
91,193,130,8,1
36,89,169,170,1
46,28,110,136,1
117,235,89,221,1
118,200,33,23,1
202,163,121,60,1
45,50,85,94,1
197,82,160,191,1
98,56,203,219,1
212,216,161,128,1
195,179,193,176,1
180,75,7,163,1
120,79,101,177,1
49,82,78,48,1
192,99,0,26,1
104,236,246,16,1
136,233,23,244,1
164,155,121,96,1
103,131,164,75,1
85,166,10,92,1
163,139,219,79,1
196,41,2,166,1
195,69,132,55,1
31,156,225,50,1
143,244,168,200,1
132,148,74,207,1
117,214,109,123,1
51,254,120,159,1
200,170,206,154,1
118,185,105,201,1
14,45,106,219,1
35,226,148,39,1
49,234,120,145,1
64,207,176,126,1
99,252,198,126,1
223,8,50,236,1
172,104,12,215,1
217,208,134,124,1
189,51,103,216,1
168,90,89,125,1
194,35,248,23,1
118,21,119,218,1
103,101,225,35,1
117,222,96,77,1
103,186,116,66,1
99,75,132,41,1
117,233,133,94,1
75,126,127,34,1
181,17,48,148,1
203,77,214,49,1
115,97,4,64,1
31,59,13,205,1
190,249,148,118,1
187,95,34,36,1
59,25,237,197,1
14,248,60,237,1
190,38,230,140,1
121,227,87,191,1
5,255,99,48,1
59,178,6,37,1
117,233,158,181,1
191,96,95,175,1
113,231,99,179,1
78,136,30,118,1
27,197,123,159,1
180,115,174,118,1
112,120,68,236,1
217,212,244,67,1
41,141,16,53,1
190,6,30,117,1
162,223,116,73,1
144,126,210,1,1
104,144,7,186,1
45,116,106,201,1
92,18,172,247,1
105,73,203,150,1
89,218,91,171,1
52,139,183,239,1
49,213,228,85,1
190,92,239,132,1
49,213,196,216,1
177,11,137,114,1
112,172,175,235,1
59,178,0,242,1
132,148,104,133,1
59,178,72,84,1
59,94,78,123,1
103,95,97,54,1
143,198,33,14,1
196,191,101,224,1
101,251,219,100,1
46,101,193,196,1
191,242,127,123,1
138,201,78,28,1
117,199,44,0,1
110,183,21,82,1
217,236,102,196,1
84,253,57,206,1
81,162,64,222,1
187,71,86,156,1
139,144,239,222,1
40,77,167,70,1
195,181,162,195,1
1,23,116,12,1
139,28,37,13,1
114,239,119,250,1
117,205,63,77,1
113,238,67,238,1
176,92,177,165,1
85,105,4,224,1
182,22,30,39,1
3,69,144,173,1
106,104,136,54,1
61,81,4,43,1
116,208,43,229,1
146,190,159,167,1
58,47,27,59,1
194,165,137,35,1
162,216,150,37,1
1,28,80,142,1
87,229,85,179,1
45,221,11,78,1
186,18,172,170,1
2,89,82,192,1
112,64,45,247,1
52,87,175,41,1
77,158,71,118,1
67,205,128,119,1
73,111,184,251,1
210,92,49,162,1
5,167,65,166,1
178,44,235,244,1
13,215,218,11,1
51,210,251,22,1
73,52,12,202,1
5,167,66,30,1
206,71,165,26,1
211,228,67,133,1
86,219,144,18,1
43,138,192,145,1
76,88,48,104,1
101,108,189,72,1
178,44,173,6,1
125,227,87,177,1
172,107,51,66,1
117,196,108,140,1
101,183,230,130,1
146,185,236,96,1
219,159,201,183,1
192,186,191,16,1
35,194,69,219,1
177,137,40,147,1
104,227,94,126,1
216,151,138,54,1
196,22,241,100,1
175,114,28,78,1
181,192,24,44,1
103,135,173,1,1
158,181,114,196,1
59,178,144,161,1
14,46,200,176,1
181,101,11,169,1
113,212,70,234,1
196,189,124,162,1
35,204,42,19,1
43,153,92,31,1
45,33,95,39,1
94,189,175,157,1
185,13,224,87,1
71,81,101,34,1
2,9,115,242,1
59,178,237,37,1
80,82,47,110,1
110,183,22,26,1
192,241,218,203,1
52,167,144,21,1
92,46,28,177,1
173,234,225,3,1
100,25,190,238,1
64,251,10,186,1
107,170,249,6,1
114,217,166,147,1
126,173,234,63,1
190,7,180,185,1
103,59,203,142,1
43,153,32,6,1
67,222,1,40,1
59,178,200,110,1
103,140,31,63,1
174,93,178,149,1
59,178,7,91,1
59,99,50,76,1
59,182,76,3,1
41,74,134,15,1
202,63,242,37,1
59,182,1,14,1
49,213,200,149,1
1,22,138,68,1
64,184,224,101,1
184,92,44,253,1
140,246,144,28,1
103,247,13,129,1
101,200,243,168,1
181,101,112,166,1
68,196,122,126,1
95,214,122,214,1
35,203,211,79,1
5,189,140,133,1
222,142,137,198,1
173,234,227,158,1
190,109,72,228,1
106,75,144,35,1
59,182,46,186,1
8,219,243,199,1
14,29,176,211,1
143,198,75,234,1
34,168,245,254,1
62,233,50,81,1
83,143,26,34,1
162,243,130,6,1
117,233,130,134,1
43,134,42,230,1
177,204,136,131,1
114,32,98,156,1
194,44,243,186,1
190,97,166,224,1
66,128,255,168,1
178,128,117,136,1
175,198,147,135,1
123,245,15,25,1
80,90,114,114,1
90,188,42,201,1
212,64,90,41,1
59,173,28,168,1
117,235,56,70,1
84,23,32,166,1
115,242,204,122,1
183,203,150,76,1
186,189,19,17,1
59,92,158,227,1
164,90,185,117,1
103,30,0,5,1
63,41,225,61,1
59,180,171,1,1
141,145,202,8,1
93,46,120,42,1
3,17,57,130,1
213,149,174,251,1
65,75,94,115,1
181,41,43,95,1
122,160,200,231,1
216,151,138,240,1
177,185,131,58,1
111,122,31,81,1
59,89,23,214,1
117,211,3,101,1
59,126,144,165,1
83,31,155,58,1
49,64,132,138,1
172,103,217,236,1
62,84,102,90,1
83,233,192,59,1
208,113,173,163,1
104,215,152,162,1
39,87,12,81,1
2,180,153,170,1
58,45,78,52,1
198,50,186,210,1
119,42,79,63,1
111,88,26,14,1
65,20,194,50,1
95,196,23,185,1
122,117,142,169,1
195,230,103,242,1
20,80,75,162,1
182,148,53,236,1
165,154,240,15,1
42,84,14,15,1
59,180,162,65,1
103,88,76,206,1
162,232,184,137,1
180,115,229,154,1
117,210,150,148,1
206,189,6,60,1
46,209,91,63,1
59,182,30,154,1
221,230,197,232,1
222,253,127,213,1
103,191,187,75,1
219,149,193,179,1
183,97,47,25,1
59,89,20,214,1
61,58,89,187,1
73,139,160,65,1
117,235,249,178,1
110,40,182,184,1
203,205,6,27,1
188,19,14,154,1
36,80,66,212,1
69,60,109,202,1
59,88,193,106,1
201,242,149,224,1
168,119,86,21,1
35,247,57,12,1
92,8,85,159,1
61,192,88,115,1
24,199,82,135,1
196,202,152,18,1
116,75,205,219,1
161,82,253,26,1
86,193,209,93,1
58,47,17,6,1
180,180,72,132,1
42,240,132,34,1
117,214,110,215,1
43,153,3,19,1
167,71,53,124,1
188,52,252,104,1
81,136,201,30,1
59,1,143,166,1
5,9,151,22,1
50,21,188,115,1
162,216,149,172,1
5,9,244,157,1
181,99,55,223,1
95,58,48,226,1
118,26,65,235,1
158,255,85,134,1
185,185,59,12,1
180,109,122,202,1
103,73,95,165,1
47,245,108,65,1
104,227,145,47,1
39,185,228,242,1
58,217,78,135,1
45,83,65,76,1
147,139,33,143,1
208,86,10,183,1
134,65,234,147,1
167,235,204,14,1
1,70,178,68,1
92,103,168,50,1
107,189,1,94,1
146,185,236,203,1
159,75,91,89,1
196,242,131,146,1
223,204,84,52,1
187,9,246,118,1
47,18,213,41,1
94,180,114,203,1
91,202,104,5,1
111,50,168,9,1
187,70,149,84,1
121,99,185,134,1
80,240,206,22,1
195,178,120,37,1
173,249,27,56,1
114,119,134,1,1
200,192,131,74,1
167,86,90,239,1
51,210,125,83,1
138,68,155,92,1
160,19,44,34,1
216,152,252,30,1
43,159,45,13,1
193,233,232,250,1
5,167,67,188,1
117,26,220,61,1
180,129,119,162,1
45,152,67,253,1
154,66,109,229,1
94,182,235,249,1
218,43,97,103,1
88,220,179,195,1
111,67,57,228,1
162,0,227,48,1
41,221,74,254,1
178,167,91,58,1
91,107,182,136,1
191,97,10,25,1
5,32,176,121,1
175,212,85,197,1
120,50,8,2,1
112,157,14,199,1
37,140,99,18,1
85,217,198,50,1
51,250,92,117,1
185,51,171,59,1
66,29,132,72,1
51,75,90,144,1
110,180,138,237,1
178,219,127,44,1
181,171,251,84,1
111,196,181,6,1
120,92,11,32,1
134,209,211,170,1
190,103,240,90,1
103,36,78,100,1
211,114,108,6,1
124,234,247,103,1
91,194,247,22,1
85,27,109,135,1
2,176,233,162,1
45,144,137,24,1
59,97,138,19,1
37,114,160,198,1
211,115,89,97,1
8,213,196,65,1
117,235,183,5,1
167,71,202,100,1
183,33,131,64,1
128,199,157,190,1
60,176,173,253,1
90,7,168,106,1
77,111,247,184,1
34,30,131,100,1
123,240,224,252,1
116,1,151,120,1
195,211,219,47,1
51,15,135,121,1
103,80,82,33,1
95,141,17,189,1
189,167,32,156,1
3,18,213,211,1
178,18,242,121,1
61,153,54,38,1
110,182,162,55,1
181,224,243,165,1
79,132,130,148,1
162,243,140,13,1
104,248,153,160,1
108,62,60,208,1
63,47,116,51,1
209,38,225,113,1
220,142,33,239,1
222,103,254,49,1
178,128,29,96,1
211,223,79,89,1
89,44,134,188,1
37,220,22,106,1
121,237,138,98,1
113,179,2,112,1
84,215,9,145,1
51,140,185,84,1
167,99,195,177,1
54,242,126,17,1
114,218,163,106,1
34,85,150,184,1
94,143,83,203,1
109,122,63,107,1
204,116,43,129,1
186,132,180,255,1
77,75,77,17,1
31,58,28,89,1
86,183,251,253,1
108,62,57,117,1
113,24,158,7,1
189,51,20,104,1
220,72,87,204,1
115,95,246,176,1
109,115,107,173,1
60,242,163,202,1
181,33,243,164,1
63,45,203,4,1
216,151,137,26,1
206,189,91,125,1
59,178,4,21,1
112,114,32,218,1
43,250,165,6,1
119,155,6,67,1
199,180,100,18,1
110,180,142,178,1
178,128,221,24,1
193,228,161,10,1
46,151,242,129,1
68,178,223,64,1
128,201,235,116,1
109,236,80,240,1
59,178,2,209,1
89,210,183,230,1
211,225,60,222,1
197,255,134,172,1
92,204,54,97,1
175,173,121,50,1
191,96,64,163,1
117,233,144,68,1
125,99,100,193,1
114,227,32,40,1
176,105,205,138,1
41,185,8,170,1
171,207,138,8,1
196,251,58,136,1
154,198,211,135,1
174,83,0,96,1
114,238,128,68,1
110,183,52,228,1
178,154,225,109,1
94,43,216,195,1
34,138,36,47,1
219,140,17,14,1
93,254,229,120,1
37,193,67,137,1
171,125,74,135,1
125,99,206,135,1
111,67,207,188,1
75,131,22,50,1
182,185,128,145,1
138,201,152,216,1
59,182,19,138,1
117,158,174,165,1
166,88,125,168,1
181,17,25,240,1
43,138,50,106,1
50,25,23,243,1
36,94,110,49,1
12,191,105,218,1
162,216,150,87,1
183,104,8,140,1
93,141,226,28,1
63,47,116,27,1
103,159,239,224,1
199,71,214,201,1
14,36,116,167,1
190,120,254,14,1
137,184,203,194,1
178,137,16,208,1
220,157,133,194,1
153,248,145,133,1
187,252,228,13,1
185,116,162,88,1
98,227,198,62,1
89,174,197,24,1
178,165,79,24,1
146,196,63,120,1
216,151,137,125,1
43,154,141,230,1
113,25,214,200,1
15,205,133,216,1
47,98,47,166,1
54,165,211,117,1
62,193,86,130,1
187,134,1,125,1
115,96,108,230,1
201,87,23,90,1
221,195,208,238,1
5,255,126,139,1
59,180,160,187,1
73,15,12,164,1
170,150,52,5,1
45,124,94,150,1
47,254,250,211,1
85,236,190,252,1
216,151,138,217,1
115,205,113,169,1
211,254,215,197,1
175,213,111,77,1
107,170,96,6,1
144,22,145,99,1
222,240,117,88,1
42,230,204,120,1
202,107,99,24,1
45,154,138,32,1
103,236,193,211,1
46,107,86,235,1
177,102,140,51,1
138,68,23,99,1
49,70,106,130,1
81,44,172,89,1
185,132,66,159,1
164,90,138,139,1
59,126,62,29,1
108,62,61,56,1
103,235,18,100,1
121,101,132,67,1
192,251,226,78,1
183,7,174,242,1
102,222,184,176,1
181,0,22,186,1
65,88,123,136,1
162,216,149,29,1
221,203,13,138,1
83,30,166,220,1
186,6,221,170,1
198,235,24,161,1
103,251,212,4,1
196,240,51,23,1
34,77,244,245,1
113,25,201,36,1
164,92,92,176,1
108,62,62,0,1
63,47,117,205,1
139,28,223,62,1
5,58,83,153,1
111,17,186,194,1
185,173,35,49,1
209,190,64,10,1
170,150,83,226,1
176,110,165,14,1
43,154,164,27,1
14,241,231,203,1
134,122,60,10,1
82,129,20,15,1
36,156,121,30,1
190,109,229,160,1
105,106,197,11,1
34,92,205,223,1
189,182,229,48,1
220,153,90,71,1
162,216,149,234,1
8,222,170,87,1
31,25,136,18,1
187,144,63,127,1
42,5,243,74,1
152,32,218,106,1
183,97,192,131,1
49,234,154,127,1
103,51,154,138,1
45,90,160,125,1
192,241,226,56,1
104,131,16,68,1
121,5,21,112,1
176,31,240,198,1
216,151,137,243,1
162,243,151,21,1
122,14,214,24,1
187,188,146,83,1
61,155,106,101,1
112,102,170,93,1
103,129,221,188,1
122,197,19,90,1
59,180,162,46,1
201,213,61,146,1
75,80,43,90,1
128,199,212,11,1
115,96,176,148,1
90,150,21,34,1
198,23,243,199,1
192,181,103,94,1
108,62,60,61,1
27,6,52,47,1
154,72,201,190,1
59,127,24,75,1
5,167,71,82,1
109,49,121,234,1
120,211,137,176,1
182,243,20,229,1
65,108,195,47,1
100,33,82,113,1
213,10,100,182,1
185,221,239,105,1
58,230,66,234,1
123,245,14,220,1
126,55,110,131,1
181,28,178,56,1
5,167,68,32,1
46,243,147,131,1
154,92,16,55,1
36,111,191,87,1
90,77,95,48,1
34,106,151,6,1
123,129,219,184,1
50,13,90,140,1
165,227,20,194,1
103,26,176,145,1
59,14,41,42,1
77,93,254,106,1
66,175,56,124,1
139,255,86,189,1
27,207,179,190,1
177,36,128,162,1
116,227,152,84,1
211,219,225,102,1
200,52,91,156,1
117,200,45,61,1
117,251,209,137,1
110,89,61,12,1
117,235,98,215,1
116,248,172,52,1
113,212,70,90,1
193,70,73,39,1
221,209,20,250,1
78,40,106,23,1
62,220,135,244,1
59,182,25,115,1
34,142,74,220,1
185,13,38,130,1
45,83,65,53,1
200,6,169,250,1
59,126,92,57,1
156,236,74,226,1
177,57,185,158,1
20,103,2,34,1
185,155,119,193,1
103,162,60,59,1
112,69,15,110,1
54,226,24,110,1
47,185,25,141,1
47,236,6,168,1
93,146,134,127,1
76,178,199,119,1
207,249,96,97,1
177,118,43,131,1
77,46,138,1,1
191,246,73,159,1
82,118,17,190,1
192,144,100,42,1
59,184,4,151,1
59,184,6,164,1
24,167,233,214,1
58,182,93,100,1
120,57,223,126,1
59,178,8,26,1
198,46,225,48,1
77,189,107,3,1
222,255,148,167,1
45,229,153,149,1
121,158,22,246,1
180,115,172,91,1
147,139,34,250,1
43,153,19,95,1
190,199,135,131,1
133,208,29,159,1
14,116,211,11,1
167,172,235,137,1
34,66,131,171,1
45,120,69,140,1
159,65,6,238,1
89,32,200,241,1
2,59,254,150,1
177,52,198,84,1
108,62,57,76,1
114,246,242,57,1
172,104,217,93,1
171,40,152,242,1
94,43,65,44,1
162,191,90,219,1
27,123,1,185,1
121,40,155,71,1
118,176,81,169,1
34,73,213,121,1
143,198,223,217,1
86,195,14,72,1
120,224,211,102,1
178,219,116,20,1
104,248,10,134,1
114,92,193,46,1
173,234,225,21,1
60,50,208,17,1
151,233,234,193,1
173,234,226,194,1
138,68,74,87,1
119,183,64,152,1
83,239,97,241,1
103,48,116,8,1
223,229,172,78,1
117,81,41,186,1
191,102,95,171,1
102,165,48,50,1
116,203,217,38,1
213,147,66,136,1
23,94,5,123,1
50,77,8,169,1
193,57,138,187,1
103,160,192,19,1
41,153,21,43,1
45,184,17,147,1
110,74,222,185,1
117,212,240,86,1
43,239,156,121,1
119,93,123,198,1
31,56,19,215,1
68,183,128,238,1
207,154,195,247,1
144,126,198,68,1
115,242,139,130,1
106,58,142,122,1
69,236,211,205,1
58,96,218,111,1
164,52,36,210,1
37,134,238,244,1
20,15,240,186,1
153,233,248,19,1
58,213,65,195,1
65,20,204,76,1
59,93,220,211,1
45,201,190,3,1
37,235,173,251,1
117,214,253,199,1
114,32,32,49,1
175,214,173,20,1
218,156,254,118,1
67,191,33,175,1
217,162,70,78,1
190,37,10,37,1
185,11,224,49,1
83,38,199,95,1
54,37,23,119,1
59,126,107,202,1
185,51,246,31,1
37,234,97,27,1
80,70,109,205,1
157,245,69,126,1
45,83,140,70,1
51,159,93,41,1
157,230,223,149,1
188,166,6,244,1
103,211,57,104,1
121,40,171,90,1
220,133,197,22,1
14,174,33,77,1
1,168,177,13,1
178,72,78,249,1
178,127,17,22,1
35,203,210,212,1
221,130,204,26,1
176,24,169,18,1
119,42,151,147,1
61,91,183,86,1
142,0,79,24,1
41,232,22,250,1
149,56,1,48,1
43,153,103,39,1
24,199,106,236,1
212,40,83,114,1
27,188,69,233,1
110,231,196,118,1
5,167,70,84,1
59,98,191,188,1
122,117,35,199,1
59,182,40,60,1
82,102,164,123,1
179,1,131,25,1
106,58,23,55,1
61,238,103,132,1
105,111,43,146,1
109,207,238,231,1
117,235,206,24,1
124,228,109,134,1
14,188,76,119,1
69,58,178,58,1
54,254,181,28,1
59,91,228,14,1
212,90,182,62,1
117,203,56,119,1
104,131,98,30,1
183,88,214,143,1
103,106,192,245,1
109,173,114,181,1
121,101,226,15,1
27,7,182,48,1
59,88,63,152,1
34,125,183,75,1
181,17,137,227,1
181,17,207,57,1
52,215,171,101,1
103,159,155,10,1
120,57,215,183,1
218,232,109,160,1
95,213,186,158,1
178,128,206,34,1
198,199,114,240,1
125,108,159,162,1
148,251,16,178,1
20,15,240,90,1
131,161,68,17,1
113,23,6,40,1
117,243,234,174,1
2,144,233,17,1
82,221,99,239,1
92,205,19,152,1
188,168,221,15,1
219,68,1,104,1
122,18,89,185,1
216,152,249,4,1
75,139,198,119,1
138,97,2,61,1
103,30,178,245,1
78,90,252,7,1
94,74,80,88,1
106,15,177,223,1
14,207,36,110,1
178,72,71,118,1
5,145,78,231,1
124,18,114,217,1
176,18,122,91,1
192,236,147,167,1
61,2,97,10,1
91,54,163,172,1
59,127,44,102,1
46,231,209,210,1
194,87,151,41,1
122,166,154,63,1
194,186,249,22,1
192,155,90,181,1
178,207,218,248,1
117,209,76,197,1
79,33,213,100,1
34,105,135,215,1
113,26,81,195,1
46,137,138,142,1
118,44,163,214,1
185,2,30,241,1
178,72,78,166,1
45,83,64,4,1
118,98,121,253,1
181,17,252,129,1
202,55,166,58,1
121,227,221,207,1
172,176,158,227,1
42,176,34,195,1
92,184,110,59,1
45,49,183,157,1
194,44,230,135,1
108,62,82,189,1
94,200,38,114,1
183,92,207,42,1
159,89,185,234,1
190,71,37,94,1
173,234,227,197,1
188,164,199,199,1
78,110,65,216,1
194,187,178,88,1
47,98,203,48,1
24,7,223,147,1
36,170,39,172,1
201,251,51,219,1
220,248,187,79,1
220,135,188,217,1
181,48,79,202,1
223,151,135,114,1
66,248,206,76,1
176,97,210,62,1
77,12,46,75,1
115,68,226,124,1
37,72,171,115,1
5,145,14,125,1
193,36,85,77,1
158,222,6,205,1
212,112,97,27,1
88,12,37,13,1
125,26,179,111,1
60,13,6,42,1
93,35,186,155,1
111,253,244,72,1
62,204,41,56,1
185,199,231,5,1
110,145,145,142,1
117,201,74,141,1
27,215,237,92,1
31,146,31,134,1
189,33,0,31,1
175,199,148,179,1
14,52,141,50,1
23,247,102,23,1
94,102,49,168,1
152,136,204,31,1
184,107,85,6,1
223,100,166,162,1
180,211,90,65,1
113,221,39,38,1
186,141,1,1,1
180,76,147,157,1
198,74,50,114,1
62,118,147,22,1
41,44,168,172,1
112,125,18,101,1
65,21,207,3,1
62,162,141,194,1
118,200,75,230,1
45,80,182,233,1
201,124,6,31,1
98,129,77,98,1
114,35,140,244,1
179,243,80,114,1
186,142,134,63,1
155,133,83,253,1
113,9,102,28,1
201,207,214,62,1
216,152,252,140,1
65,21,124,153,1
105,157,251,190,1
42,193,183,121,1
136,232,243,138,1
191,97,96,153,1
216,151,137,226,1
122,105,243,90,1
110,142,41,78,1
78,132,249,254,1
113,228,118,177,1
186,136,23,104,1
195,191,32,134,1
128,199,171,224,1
63,45,200,131,1
223,13,70,177,1
87,106,124,127,1
125,128,251,126,1
78,22,105,231,1
79,183,187,35,1
59,120,103,230,1
75,84,252,170,1
194,187,177,165,1
108,62,60,49,1
82,155,162,12,1
92,40,97,190,1
186,233,176,26,1
185,216,119,199,1
45,224,251,44,1
203,194,113,99,1
223,13,30,115,1
60,49,0,221,1
135,181,2,74,1
124,248,182,27,1
194,87,69,89,1
89,97,205,99,1
114,32,60,194,1
103,74,123,3,1
87,19,111,155,1
59,178,35,214,1
79,137,203,196,1
121,5,60,131,1
46,149,34,206,1
74,244,125,55,1
27,220,177,65,1
163,172,217,103,1
20,211,72,176,1
223,151,76,52,1
180,115,161,199,1
59,178,143,145,1
164,90,152,213,1
192,241,222,61,1
59,178,66,208,1
222,70,169,141,1
181,101,17,203,1
222,185,243,130,1
178,175,130,253,1
35,228,225,73,1
106,86,177,158,1
14,102,18,34,1
65,20,157,230,1
188,34,183,184,1
181,101,124,240,1
51,159,59,46,1
59,182,14,175,1
223,205,106,237,1
139,59,80,154,1
222,129,19,14,1
192,241,216,229,1
87,106,112,56,1
85,10,203,112,1
37,72,168,165,1
66,249,79,179,1
182,61,43,33,1
